date, category, title, amount
2020-12-12,transporte,Bike e Moto 2/3,59.66
2020-12-12,transporte,Maria das Candeias Dio 2/2,24
2020-12-19,transporte,Posto Pinheiro - Joao,20
2020-12-21,transporte,Posto Pinheiro - Joao,31
2020-12-12,transporte,Bike e Moto 2/3,59.66
2020-12-12,transporte,Maria das Candeias Dio 2/2,24
2020-12-19,transporte,Posto Pinheiro - Joao,20
2020-12-21,transporte,Posto Pinheiro - Joao,31
2021-06-14,transporte,Comercial de Combustiv,10.04
2021-06-14,transporte,Maria das Candeias Dio,10
2021-06-16,transporte,Auto Posto Pitombeira,30.03
2021-06-19,transporte,Jaguaribe Petroleo,4
2021-06-21,transporte,Auto Posto Pitombeira,30
